,file,particle,script_version_git,date,frame,y_micron,x_micron,D,A,P,Dist,serum
106,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,16,15.6625619,21.32244564,0.054376482,512.2409996,19.52543454,7.685747013,1
107,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,17,15.58239302,21.46207021,0.161003323,511.9530543,19.54600206,7.759292186,1
108,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,18,15.5640611,21.41458236,0.050903391,512.2272879,19.60770463,7.803384346,1
109,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,19,15.58104606,21.46512028,0.05331576,511.8022258,19.53914622,7.825161238,1
110,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,20,15.70442088,21.48011592,0.124282804,512.5975034,19.63512799,7.633759869,1
111,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,21,15.6039509,21.41013702,0.122438815,513.0774122,19.62827215,7.650869561,1
112,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,22,15.68683918,21.4297941,0.085187251,512.2889905,19.68997472,7.549683125,1
113,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,23,15.58439242,21.44757991,0.103979198,512.700341,19.64883967,7.662677309,1
114,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,24,15.73680823,21.41890847,0.155089105,513.1116914,19.61456047,7.56876058,1
115,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,25,15.75474234,21.51338324,0.096161918,513.4956185,19.66255135,7.564165072,1
116,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,26,15.75534971,21.62231867,0.108937123,513.1254031,19.66940719,7.611569668,1
117,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,27,15.7329951,21.5016764,0.122695908,512.8100344,19.60770463,7.683687158,1
118,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,28,15.65890131,21.37666654,0.145318116,512.3712606,19.64883967,7.733629871,1
119,210521_guide_1514i.sld_-_1514_i1_t0,1,3310a09,20210521,29,15.69953699,21.41316335,0.05461937,512.3781164,19.65569551,7.673764539,1
120,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,0,7.569057295,9.829532636,,279.1012781,14.75376936,1.915217764,1
121,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,1,7.406017585,9.822845707,0.163176782,278.8956029,14.8291836,1.755904718,1
122,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,2,7.526342502,9.7773113,0.128652508,278.8818912,14.78119272,1.855279213,1
123,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,3,7.524258761,9.785606111,0.008552536,278.7927653,14.78804856,1.882042077,1
124,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,4,7.550370369,9.792441839,0.02699154,278.2991447,14.76748104,1.883155373,1
125,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,5,7.519298738,9.829003937,0.047981593,278.58709,14.74691352,1.866907994,1
126,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,6,7.526964742,9.864450679,0.036266226,277.7986684,14.77433688,1.857428957,1
127,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,7,7.514946753,9.822351004,0.043781442,278.0934695,14.73320183,1.861021235,1
128,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,8,7.441050017,9.715573861,0.129854095,278.6419368,14.78119272,1.753662979,1
129,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,9,7.456360773,9.790476816,0.076451762,277.9289293,14.7606252,1.796393768,1
130,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,10,7.46689641,9.744356147,0.047308728,278.0249111,14.76748104,1.787971533,1
131,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,11,7.442179958,9.689766829,0.059924091,278.545955,14.7949044,1.76082471,1
132,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,12,7.510069854,9.735870157,0.082064333,278.0317669,14.78804856,1.851725885,1
133,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,13,7.456951351,9.662675188,0.09043826,278.1071812,14.80176024,1.734749621,1
134,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,14,7.557471244,9.725213496,0.118386185,277.7163983,14.76748104,1.840754468,1
135,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,15,7.494292411,9.754249678,0.069531754,278.244298,14.74691352,1.824985743,1
136,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,16,7.485708548,9.731791411,0.024042805,278.1071812,14.77433688,1.774199821,1
137,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,17,7.41716902,9.748843482,0.070628889,278.4088382,14.84289529,1.748576788,1
138,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,18,7.534614837,9.732062801,0.118638574,277.8192359,14.78804856,1.84722336,1
139,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,19,7.595063741,9.800065593,0.090985986,277.8535151,14.78119272,1.91863219,1
140,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,20,7.64817047,9.710786521,0.103880111,277.2776245,14.72634599,1.903067478,1
141,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,21,7.635213255,9.699357054,0.017277793,277.2433453,14.73320183,1.908227956,1
142,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,22,7.6831818,9.673392822,0.054544685,277.4764438,14.78804856,1.970056436,1
143,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,23,7.648093516,9.666596775,0.035740368,277.1199401,14.80861608,1.893329138,1
144,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,24,7.687734509,9.556150127,0.117345091,277.2913361,14.74691352,1.938407653,1
145,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,25,7.613070498,9.600167658,0.086673281,277.1062284,14.73320183,1.882544154,1
146,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,26,7.492271688,9.681814151,0.145802957,277.2159219,14.7949044,1.741961906,1
147,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,27,7.488634958,9.636992274,0.044969172,277.3119037,14.83603945,1.750456816,1
148,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,28,7.534239572,9.676442475,0.060300076,277.2433453,14.78804856,1.804805744,1
149,210521_guide_1514i.sld_-_1514_i2_t0_,0,3310a09,20210521,29,7.480325173,9.711517242,0.064319528,277.4421646,14.74691352,1.740322163,1
150,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,0,19.69160742,25.66990191,,279.1012781,14.75376936,1.551009048,1
151,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,1,19.69487802,25.62038453,0.049625273,278.8956029,14.8291836,1.571261743,1
152,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,2,19.79366112,25.70136146,0.127731609,278.8818912,14.78119272,1.450284682,1
153,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,3,19.81128113,25.6747953,0.031878294,278.7927653,14.78804856,1.444120064,1
154,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,4,19.70989574,25.69567661,0.103513412,278.2991447,14.76748104,1.503559132,1
155,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,5,19.72590735,25.65733006,0.041555139,278.58709,14.74691352,1.482518456,1
156,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,6,19.76872309,25.69036861,0.054080804,277.7986684,14.77433688,1.426485099,1
157,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,7,19.75945056,25.69700371,0.011401946,278.0934695,14.73320183,1.420754178,1
158,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,8,19.75952384,25.69081991,0.006184234,278.6419368,14.78119272,1.462531525,1
159,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,9,19.78131349,25.66464117,0.034060465,277.9289293,14.7606252,1.396512139,1
160,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,10,19.69982502,25.65820601,0.081742168,278.0249111,14.76748104,1.491445373,1
161,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,11,19.73324533,25.67229329,0.03626801,278.545955,14.7949044,1.465964223,1
162,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,12,19.70933828,25.69591449,0.033608156,278.0317669,14.78804856,1.545141026,1
163,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,13,19.77336347,25.63049341,0.091537657,278.1071812,14.80176024,1.512342836,1
164,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,14,19.72301943,25.69346343,0.080621001,277.7163983,14.76748104,1.493104958,1
165,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,15,19.70398572,25.70583633,0.022701779,278.244298,14.74691352,1.542149575,1
166,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,16,19.82839004,25.7478744,0.131315019,278.1071812,14.77433688,1.394584109,1
167,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,17,19.79248771,25.68590239,0.071620579,278.4088382,14.84289529,1.435933074,1
168,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,18,19.79964478,25.66094064,0.02596753,277.8192359,14.78804856,1.439341432,1
169,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,19,19.84000196,25.61591913,0.060461875,277.8535151,14.78119272,1.43339276,1
170,210521_guide_1514i.sld_-_1514_i2_t0_,1,3310a09,20210521,20,19.9107199,25.7471659,0.149086356,277.2776245,14.72634599,1.279662934,1
